"year";"count";"winner";"winning";"nwinning";"score_mean";"score_std";"nscore_mean";"nscore_std"
1957;10;"Netherlands";31;"3,10000000";"10,00000000";"8,31330928";"1,00000000";"0,83133093"
1958;10;"France";27;"2,70000000";"10,00000000";"9,05538514";"1,00000000";"0,90553851"
1959;11;"Netherlands";21;"2,10000000";"10,00000000";"6,18061486";"1,00000000";"0,61806149"
1960;13;"France";32;"3,20000000";"10,00000000";"9,21954446";"1,00000000";"0,92195445"
1961;16;"Luxembourg";31;"3,10000000";"10,00000000";"8,23812276";"1,00000000";"0,82381228"
1962;16;"France";26;"4,33333333";"6,00000000";"6,94742158";"1,00000000";"1,15790360"
1963;16;"Denmark";42;"2,80000000";"15,00000000";"15,59059546";"1,00000000";"1,03937303"
1964;16;"Italy";49;"5,44444444";"9,00000000";"12,31259518";"1,00000000";"1,36806613"
1965;18;"Luxembourg";32;"3,55555556";"9,00000000";"9,72564832";"1,00000000";"1,08062759"
1966;18;"Austria";31;"3,44444444";"9,00000000";"7,47545002";"1,00000000";"0,83060556"
1967;17;"United Kingdom";47;"4,70000000";"10,00000000";"11,51086443";"1,00000000";"1,15108644"
1968;17;"Spain";29;"2,90000000";"10,00000000";"9,01387819";"1,00000000";"0,90138782"
1969;16;"France";18;"1,80000000";"10,00000000";"5,57374799";"1,00000000";"0,55737480"
1970;12;"Ireland";32;"3,00000000";"10,66666667";"8,91712686";"1,00000000";"0,83598064"
1971;18;"Monaco";128;"1,53907816";"83,16666667";"18,58288270";"1,00000000";"0,22344148"
1972;18;"Luxembourg";128;"1,49416342";"85,66666667";"20,39319379";"1,00000000";"0,23805285"
1973;17;"Luxembourg";129;"1,47181208";"87,64705882";"21,15106728";"1,00000000";"0,24132090"
1974;17;"Sweden";24;"2,40000000";"10,00000000";"6,08276253";"1,00000000";"0,60827625"
1975;19;"Netherlands";152;"2,62068966";"58,00000000";"44,28945197";"1,00000000";"0,76361124"
1976;18;"United Kingdom";164;"2,82758621";"58,00000000";"46,18632341";"1,00000000";"0,79631592"
1977;18;"France";136;"2,34482759";"58,00000000";"40,75320269";"1,00000000";"0,70264143"
1978;20;"Israel";157;"2,70689655";"58,00000000";"45,97711101";"1,00000000";"0,79270881"
1979;19;"Israel";125;"2,15517241";"58,00000000";"36,49657518";"1,00000000";"0,62925130"
1980;19;"Ireland";143;"2,46551724";"58,00000000";"41,96427052";"1,00000000";"0,72352191"
1981;20;"United Kingdom";136;"2,34482759";"58,00000000";"42,84365703";"1,00000000";"0,73868374"
1982;18;"Germany";161;"2,77586207";"58,00000000";"41,63991298";"1,00000000";"0,71792953"
1983;20;"Luxembourg";142;"2,44827586";"58,00000000";"44,97250622";"1,00000000";"0,77538804"
1984;19;"Sweden";145;"2,50000000";"58,00000000";"38,70831091";"1,00000000";"0,66738467"
1985;19;"Norway";123;"2,12068966";"58,00000000";"36,28896373";"1,00000000";"0,62567179"
1986;20;"Belgium";176;"3,03448276";"58,00000000";"46,22371230";"1,00000000";"0,79696056"
1987;22;"Ireland";172;"2,96551724";"58,00000000";"44,20084033";"1,00000000";"0,76208345"
1988;21;"Switzerland";137;"2,36206897";"58,00000000";"41,20922227";"1,00000000";"0,71050383"
1989;22;"Croatia";137;"2,36206897";"58,00000000";"39,91300063";"1,00000000";"0,68815518"
1990;22;"Italy";149;"2,56896552";"58,00000000";"44,99100439";"1,00000000";"0,77570697"
1991;22;"France";146;"2,51724138";"58,00000000";"50,10655313";"1,00000000";"0,86390609"
1992;23;"Ireland";155;"2,67241379";"58,00000000";"43,69314488";"1,00000000";"0,75333008"
1993;25;"Ireland";187;"3,22413793";"58,00000000";"53,55682341";"1,00000000";"0,92339351"
1994;25;"Ireland";226;"3,89655172";"58,00000000";"55,37297777";"1,00000000";"0,95470651"
1995;23;"Norway";148;"2,55172414";"58,00000000";"42,07352871";"1,00000000";"0,72540567"
1996;23;"Ireland";162;"2,79310345";"58,00000000";"40,32369031";"1,00000000";"0,69523604"
1997;25;"United Kingdom";227;"3,91379310";"58,00000000";"55,25320504";"1,00000000";"0,95264147"
1998;25;"Israel";172;"2,96551724";"58,00000000";"58,46580197";"1,00000000";"1,00803107"
1999;23;"Sweden";163;"2,81034483";"58,00000000";"48,47398553";"1,00000000";"0,83575837"
2000;24;"Denmark";195;"3,36206897";"58,00000000";"50,99616354";"1,00000000";"0,87924420"
2001;23;"Estonia";198;"3,41379310";"58,00000000";"57,03667082";"1,00000000";"0,98339088"
2002;24;"Latvia";176;"3,03448276";"58,00000000";"46,79093186";"1,00000000";"0,80674020"
2003;26;"Turkey";167;"2,87931034";"58,00000000";"52,89385598";"1,00000000";"0,91196303"
2004;24;"Ukraine";280;"3,21839080";"87,00000000";"87,65892400";"1,00000000";"1,00757384"
2005;24;"Greece";230;"2,44031830";"94,25000000";"61,93562577";"1,00000000";"0,65714192"
2006;24;"Finland";292;"3,17967332";"91,83333333";"84,78395391";"1,00000000";"0,92323725"
2007;24;"Serbia";268;"2,64039409";"101,50000000";"70,09620718";"1,00000000";"0,69060303"
2008;25;"Russia";272;"2,72654370";"99,76000000";"73,69773855";"1,00000000";"0,73875039"
2009;25;"Norway";387;"3,97167488";"97,44000000";"83,49754487";"1,00000000";"0,85691241"
2010;25;"Germany";246;"2,71883289";"90,48000000";"60,44633984";"1,00000000";"0,66806300"
2011;25;"Azerbaijan";221;"2,21531676";"99,76000000";"49,17255332";"1,00000000";"0,49290851"
2012;26;"Sweden";372;"3,97044335";"93,69230769";"82,45229856";"1,00000000";"0,88003274"
2013;26;"Denmark";281;"3,22988506";"87,00000000";"77,89993582";"1,00000000";"0,89540156"
2014;26;"Austria";290;"3,51351351";"82,53846154";"73,20395113";"1,00000000";"0,88690714"
2015;27;"Sweden";365;"4,24784483";"85,92592593";"103,62318048";"1,00000000";"1,20595943"
2016;26;"Ukraine";534;"2,84975369";"187,38461538";"139,45610834";"1,00000000";"0,74422390"
2017;26;"Portugal";758;"4,04515599";"187,38461538";"183,83363717";"1,00000000";"0,98104979"
2018;26;"Israel";529;"2,75741780";"191,84615385";"124,75694524";"1,00000000";"0,65029683"
2019;26;"Netherlands";498;"2,72245585";"182,92307692";"146,07639729";"1,00000000";"0,79856735"
